operator,metro,quarter,severity,n_conservative,n_liberal,n_conservative_svc,n_liberal_svc
waymo,california,2025Q2,police_reportable_proxy,40,40,33,33
waymo,california,2025Q2,any_injury,8,8,7,7
waymo,california,2025Q2,airbag_or_tow,40,40,33,33
waymo,california,2025Q2,serious_plus,0,0,0,0
waymo,california,2025Q3,sgo_any,108,108,80,80
waymo,california,2025Q3,police_reportable_proxy,14,14,14,14
waymo,california,2025Q3,any_injury,14,14,14,14
waymo,california,2025Q3,airbag_or_tow,14,14,14,14
waymo,california,2025Q3,serious_plus,0,0,0,0
waymo,california,2025Q4,sgo_any,160,160,96,96
waymo,california,2025Q4,police_reportable_proxy,13,13,11,11
waymo,california,2025Q4,any_injury,13,13,11,11
waymo,california,2025Q4,airbag_or_tow,13,13,11,11
waymo,california,2025Q4,serious_plus,0,0,0,0
waymo,california,2026Q1,sgo_any,156,156,99,99
waymo,california,2026Q1,police_reportable_proxy,18,18,17,17
waymo,california,2026Q1,any_injury,18,18,17,17
waymo,california,2026Q1,airbag_or_tow,18,18,17,17
waymo,california,2026Q1,serious_plus,0,0,0,0
waymo,california,2026Q2,sgo_any,166,166,104,104
waymo,california,2026Q2,police_reportable_proxy,17,17,16,16
waymo,california,2026Q2,any_injury,17,17,16,16
waymo,california,2026Q2,airbag_or_tow,17,17,16,16
waymo,california,2026Q2,serious_plus,0,0,0,0
zoox,california,2024Q4,sgo_any,1,1,1,1
zoox,california,2024Q4,police_reportable_proxy,0,0,0,0
zoox,california,2024Q4,any_injury,0,0,0,0
zoox,california,2024Q4,airbag_or_tow,0,0,0,0
zoox,california,2024Q4,serious_plus,0,0,0,0
zoox,california,2025Q1,sgo_any,2,2,1,1
zoox,california,2025Q1,police_reportable_proxy,0,0,0,0
zoox,california,2025Q1,any_injury,0,0,0,0
zoox,california,2025Q1,airbag_or_tow,0,0,0,0
zoox,california,2025Q1,serious_plus,0,0,0,0
zoox,california,2025Q2,sgo_any,2,2,0,0
zoox,california,2025Q2,police_reportable_proxy,2,2,0,0
zoox,california,2025Q2,any_injury,1,1,0,0
zoox,california,2025Q2,airbag_or_tow,2,2,0,0
zoox,california,2025Q2,serious_plus,0,0,0,0
zoox,california,2025Q3,sgo_any,3,3,1,1
zoox,california,2025Q3,police_reportable_proxy,0,0,0,0
zoox,california,2025Q3,any_injury,0,0,0,0
zoox,california,2025Q3,airbag_or_tow,0,0,0,0
zoox,california,2025Q3,serious_plus,0,0,0,0
zoox,california,2025Q4,sgo_any,2,2,2,2
zoox,california,2025Q4,police_reportable_proxy,0,0,0,0
zoox,california,2025Q4,any_injury,0,0,0,0
zoox,california,2025Q4,airbag_or_tow,0,0,0,0
zoox,california,2025Q4,serious_plus,0,0,0,0
zoox,california,2026Q1,sgo_any,7,7,5,5
zoox,california,2026Q1,police_reportable_proxy,0,0,0,0
zoox,california,2026Q1,any_injury,0,0,0,0
zoox,california,2026Q1,airbag_or_tow,0,0,0,0
zoox,california,2026Q1,serious_plus,0,0,0,0
zoox,california,2026Q2,sgo_any,3,3,2,2
zoox,california,2026Q2,police_reportable_proxy,1,1,1,1
zoox,california,2026Q2,any_injury,1,1,1,1
zoox,california,2026Q2,airbag_or_tow,1,1,1,1
zoox,california,2026Q2,serious_plus,0,0,0,0
