report_id,version,entity,city,state,injury_severity,incident_date,airbag,towed,narrative_len,vin,incident_time,driver_type,same_incident_id,same_vehicle_id,service_context,operator,any_injury,serious_plus,metro,quarter
30270-10858,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,True,889,SADHW2S15R1,08:24,,4e15b4d932979b5,da1c07fbe9f0399,True,waymo,False,False,california,2025Q2
30610-10711,2,"Zoox, Inc.",San Francisco,CA,Minor,2025-05-01,False,False,1258,7Z00XVHX7RK,19:53,,b7ad401221e8988,0c73c4fc3c11efd,False,zoox,True,False,california,2025Q2
30270-10838,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,True,991,SADHW2S10R1,13:52,,d79d6f7be18d89f,597501ee2911576,True,waymo,False,False,california,2025Q2
30270-10792,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,669,SADHW2S15R1,11:57,,2af6f9baf72782b,f1fbcd0fc9ffdd2,False,waymo,False,False,california,2025Q2
30270-10793,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,892,SADHW2S12R1,19:21,,4c39a0ef2652ee3,4edfc9e61ed6660,True,waymo,False,False,california,2025Q2
30270-10790,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,907,SADHW2S19R1,08:31,,541af028674029f,ee6ac5b4cf51a16,True,waymo,False,False,california,2025Q2
30270-10776,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,True,994,SADHW2S19R1,22:38,,dd7979d22b5c160,4397efdcc60adba,False,waymo,False,False,california,2025Q2
30270-10775,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,True,835,SADHW2S19R1,04:18,,a4221254ea9e123,99792a5987d8ed0,True,waymo,False,False,california,2025Q2
30270-10680,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,936,SADHW2S13R1,22:07,,2793db955371f40,356f5c95bf804e5,True,waymo,False,False,california,2025Q2
30270-10753,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,776,SADHW2S15R1,17:13,,9f24abe73cfc948,e1e1265b959c710,False,waymo,False,False,california,2025Q2
30270-10752,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,686,SADHW2S15R1,14:56,,aef5f220ddcfff1,4fda5a69ad1163d,False,waymo,False,False,california,2025Q2
30270-10750,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,767,SADHW2S18R1,06:50,,3cb4ac44e082069,af787839fce7dcd,True,waymo,False,False,california,2025Q2
30270-10748,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-04-01,False,False,929,SADHW2S10R1,17:32,,7308e86f6c4f636,0be782898c8fe76,True,waymo,False,False,california,2025Q2
30270-10747,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,852,SADHW2S18R1,15:31,,fd63b45b89e60d1,90f750a3e08168b,True,waymo,False,False,california,2025Q2
30270-10679,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,800,SADHW2S1XR1,18:10,,e5968e6ffdbb083,34dcbe78146118f,True,waymo,False,False,california,2025Q2
30270-10678,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,1016,SADHW2S18R1,09:04,,2b08326e556afc7,006ffe23c5da72b,True,waymo,False,False,california,2025Q2
30270-10672,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-04-01,False,False,907,SADHW2S16R1,05:59,,894062e6b5b6b77,b9e96b138ab8e57,True,waymo,False,False,california,2025Q2
30270-10671,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,823,SADHW2S12R1,21:42,,3f3bf8d93dbfe14,fd0e441f48cee0d,False,waymo,False,False,california,2025Q2
30270-10668,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,1019,SADHW2S17R1,10:41,,f83f7c37e14f52b,52020cdc469756a,True,waymo,False,False,california,2025Q2
30270-10666,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,846,SADHW2S14R1,01:15,,e3f948feabc1ec0,2d4215722bfaccc,True,waymo,False,False,california,2025Q2
30270-10690,1,Waymo LLC,Los Angeles,CA,Minor,2025-04-01,False,False,1059,SADHW2S14R1,14:30,,44aa78f82f08885,09106b9119c28ba,True,waymo,True,False,california,2025Q2
30270-10761,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,787,SADHW2S18R1,18:39,,8b9ce97c9287d1e,271b9c634174ea8,True,waymo,False,False,california,2025Q2
30270-10759,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,930,SADHW2S10R1,17:47,,c81082eafda6733,ebda0b5465bb521,True,waymo,False,False,california,2025Q2
30270-10758,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,799,SADHW2S11R1,12:31,,6ee77227e1964a8,3f44b4e54bd227a,True,waymo,False,False,california,2025Q2
30270-10757,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,861,SADHW2S19R1,11:53,,85694e67f3f1083,3da11dc7b261f13,False,waymo,False,False,california,2025Q2
30270-10756,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,1429,SADHW2S15R1,01:45,,9463f912a3b86f9,55cc95b72bf834d,False,waymo,False,False,california,2025Q2
30270-10755,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,811,SADHW2S14R1,16:19,,0df7386b2e121f4,514b6838e6ddc6e,True,waymo,False,False,california,2025Q2
30270-10754,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,975,SADHW2S13R1,20:48,,09e260ff04fde7e,356f5c95bf804e5,True,waymo,False,False,california,2025Q2
30270-10714,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,975,SADHW2S1XR1,16:14,,5bfa8081ac63312,aca840db6563bbb,True,waymo,False,False,california,2025Q2
30270-10685,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-04-01,False,False,768,SADHW2S1XR1,10:25,,056a942c8c8d3c9,2be1b9a39636830,False,waymo,False,False,california,2025Q2
30270-10600,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,892,SADHW2S10R1,12:19,,1f374cfdfc4a97e,ebda0b5465bb521,True,waymo,False,False,california,2025Q2
30270-10602,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,677,SADHW2S16R1,01:29,,3e5d99121245470,de56029a676ce2f,False,waymo,False,False,california,2025Q2
30270-10610,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,751,SADHW2S1XR1,09:44,,bed27662740a5e4,bab8eae754e6ce2,False,waymo,False,False,california,2025Q2
30270-10613,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,793,SADHW2S17M1,07:44,,de693def5440138,e99629229709aa3,False,waymo,False,False,california,2025Q2
30270-10630,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,823,SADHW2S18R1,09:10,,8932666da33677f,d532e82c07faf0b,True,waymo,False,False,california,2025Q2
30270-10689,1,Waymo LLC,Santa Monica,CA,No Injuries Reported,2025-04-01,False,False,836,SADHW2S11R1,14:40,,c1c73648661eb2b,c05baf37966067f,True,waymo,False,False,california,2025Q2
30270-10337,2,Waymo LLC,Los Angeles,CA,Minor,2025-03-01,False,False,995,SADHW2S11R1,16:46,,52d204b4a4df1c5,abc756b53640e95,True,waymo,True,False,california,2025Q1
30270-10684,1,Waymo LLC,Beverly Hills,CA,No Injuries Reported,2025-04-01,False,False,817,SADHW2S11R1,11:14,,66d1c511765f08f,f92efbd5b0ee84b,True,waymo,False,False,california,2025Q2
30270-10683,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,837,SADHW2S13R1,07:51,,e9d6934d6023298,b7977f542e4f716,True,waymo,False,False,california,2025Q2
30270-10743,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,902,SADHW2S15R1,08:55,,db8a31384ad0ae7,c4c32d33e663e59,True,waymo,False,False,california,2025Q2
30270-10742,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,843,SADHW2S16R1,15:29,,8f4b14673f656c2,549dc088263cd26,True,waymo,False,False,california,2025Q2
30270-10727,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-02-01,False,False,1144,SADHW2S14R1,06:11,,d60f0a7874550b0,58fc028660eda5f,True,waymo,False,False,california,2025Q1
30270-10726,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-04-01,False,False,910,SADHW2S15R1,21:07,,e2d92dee1c5155b,d52323ff12423c1,False,waymo,False,False,california,2025Q2
30270-10717,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,913,SADHW2S17M1,21:44,,3d1197234733445,652e9973dc88545,True,waymo,False,False,california,2025Q2
30270-10715,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-04-01,False,False,738,SADHW2S12R1,16:39,,c0ab826dd6f7a39,f07aedd654e601f,True,waymo,False,False,california,2025Q2
30270-10713,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-04-01,False,False,884,SADHW2S18R1,00:36,,da37ed084b7182d,a80825dd01400ad,True,waymo,False,False,california,2025Q2
30270-10559,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-04-01,False,False,676,SADHW2S11R1,11:19,,4078857f3f1549d,914f5e1aba32b51,False,waymo,False,False,california,2025Q2
30270-10768,1,Waymo LLC,Los Angeles,CA,Minor,2025-05-01,False,False,1118,SADHW2S19R1,20:00,,3bed82ec870ce9c,9ff684673df8aff,False,waymo,True,False,california,2025Q2
30270-10746,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,True,851,SADHW2S11R1,17:27,,912fe10da529c31,8aa8c53bfbf4a75,True,waymo,False,False,california,2025Q2
30270-10638,2,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,1240,SADHW2S14R1,14:48,,1e50d4eb4d0bbd7,4428f871e71092a,False,waymo,False,False,california,2025Q2
30610-10711,1,"Zoox, Inc.",San Francisco,CA,Minor,2025-05-01,False,False,1076,7Z00XVHX7RK,19:53,,b7ad401221e8988,0c73c4fc3c11efd,False,zoox,True,False,california,2025Q2
30270-10673,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,True,1145,SADHW2S19R1,09:59,,ec072be87c1b410,d38a9c8870c899e,True,waymo,False,False,california,2025Q2
30270-10664,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-05-01,False,True,837,SADHW2S12R1,07:06,,4468efe647fd81a,d95a931fbcfbce4,False,waymo,False,False,california,2025Q2
30270-10663,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-05-01,False,True,1022,SADHW2S12R1,07:44,,dcdc0f9cfeb8580,e0846443b7c6da5,True,waymo,False,False,california,2025Q2
30270-10649,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,True,863,SADHW2S10M1,20:48,,2ea8a855b7379fa,2c2f75d23c37307,True,waymo,False,False,california,2025Q2
30270-10648,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-04-01,False,True,796,SADHW2S19R1,20:34,,00c66c34c4474a1,e80cd9fc5ca240e,True,waymo,False,False,california,2025Q2
30270-9988,2,Waymo LLC,Daly City,CA,Minor,2025-02-01,True,True,1442,SADHW2S16R1,16:25,,011b230dd3f2ae9,1a5459638549d49,True,waymo,True,False,california,2025Q1
30270-10638,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,1091,SADHW2S14R1,14:48,,1e50d4eb4d0bbd7,4428f871e71092a,False,waymo,False,False,california,2025Q2
30270-10592,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-04-01,False,True,1034,SADHW2S11R1,18:34,,9341d4360bf129b,c19f62a289b1bf6,True,waymo,False,False,california,2025Q2
30270-10576,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-04-01,False,True,968,SADHW2S12R1,10:01,,285179add9a2301,e8a14d65bfa0fc4,False,waymo,False,False,california,2025Q2
30270-10573,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,False,1067,SADHW2S17M1,02:11,,7d57ae266c261bc,5018c6c30df5a7f,True,waymo,False,False,california,2025Q2
30270-10563,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-03-01,False,True,887,SADHW2S13R1,08:49,,622ea0e82c437fd,5ee26dfcd048807,False,waymo,False,False,california,2025Q1
30270-10560,1,Waymo LLC,Culver City,CA,No Injuries Reported,2025-04-01,False,True,785,SADHW2S16R1,20:51,,96656e088802e2e,5d424419b264432,False,waymo,False,False,california,2025Q2
30270-10555,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,True,973,SADHW2S16R1,14:14,,d91d586ead95b16,e1fd8590ddc22f7,True,waymo,False,False,california,2025Q2
30270-10528,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,True,1008,SADHW2S18R1,11:29,,bd1ce4d304e6e1c,e46f47b5aae4a42,True,waymo,False,False,california,2025Q2
30270-10438,1,Waymo LLC,Los Angeles,CA,No Injuries Reported,2025-03-01,False,False,896,SADHW2S12R1,11:01,,a2fc403c2ef36ee,e7c7d499b6f8f51,True,waymo,False,False,california,2025Q1
30270-10497,1,Waymo LLC,San Francisco,CA,No Injuries Reported,2025-04-01,False,True,702,SADHW2S12M1,11:17,,36299db7911dfd0,b6ab54ad1accaba,True,waymo,False,False,california,2025Q2
